"V160001","V161126","V161196","V161342","V162034a","V162148"
300940,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300947,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300953,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","1. Hillary Clinton","1. Favor"
300968,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300970,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300973,"4. Moderate, middle of the road","1. Favor","2. Female","1. Hillary Clinton","1. Favor"
300976,"4. Moderate, middle of the road","2. Oppose","2. Female","3. Gary Johnson","3. Neither favor nor oppose"
300979,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300983,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300991,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","1. Favor"
301006,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301007,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
301008,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
301010,"6. Conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
301011,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
301014,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","1. Favor"
301018,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
301019,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301020,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301023,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","1. Favor"
301024,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
301026,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
301033,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","2. Oppose"
301034,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
301043,"6. Conservative","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
301045,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
301047,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
301052,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
301059,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
301060,"6. Conservative","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
301061,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
301070,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
301073,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","1. Hillary Clinton","1. Favor"
301081,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
301086,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
301089,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301094,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
